input,voting_scheme,happiness_measure,happiness_values,risk_measure,risk_values
"[['B' 'D' 'D' 'A' 'B']
 ['A' 'C' 'A' 'B' 'D']
 ['E' 'B' 'E' 'D' 'A']
 ['C' 'E' 'C' 'E' 'C']
 ['D' 'A' 'B' 'C' 'E']]",Anti-plurality voting,NDCG,"[0.9463059860281778, 0.8039125972074981, 0.8269228720575827, 0.9847184491167088, 0.9190820655219575]",Flip Reward,0.11327506183373919
"[['C' 'E' 'D' 'D' 'A']
 ['A' 'A' 'B' 'B' 'C']
 ['B' 'C' 'E' 'E' 'E']
 ['E' 'B' 'A' 'A' 'B']
 ['D' 'D' 'C' 'C' 'D']]",Anti-plurality voting,NDCG,"[0.8599684385269835, 0.9018959799261715, 0.7740328582392829, 0.7740328582392829, 0.9610096069211456]",Flip Reward,0.13558894574051647
"[['E' 'B' 'B' 'D' 'B']
 ['C' 'E' 'A' 'C' 'D']
 ['A' 'A' 'E' 'E' 'C']
 ['B' 'C' 'D' 'A' 'E']
 ['D' 'D' 'C' 'B' 'A']]",Anti-plurality voting,NDCG,"[0.9677584336841215, 0.9153936334521232, 0.8983809016155144, 0.7442737566262225, 0.8111161075879897]",Flip Reward,0.14158215416785447
"[['C' 'D' 'A' 'E' 'C' 'A' 'B' 'C' 'E' 'B' 'B' 'D' 'C' 'A' 'A' 'E' 'B' 'E'
  'D' 'B']
 ['B' 'E' 'D' 'D' 'A' 'D' 'C' 'D' 'D' 'D' 'E' 'E' 'A' 'C' 'B' 'C' 'E' 'D'
  'B' 'C']
 ['A' 'C' 'E' 'B' 'B' 'B' 'E' 'B' 'A' 'C' 'D' 'B' 'E' 'B' 'C' 'D' 'C' 'C'
  'A' 'E']
 ['E' 'B' 'C' 'C' 'D' 'C' 'D' 'A' 'C' 'A' 'C' 'C' 'B' 'E' 'D' 'A' 'D' 'A'
  'E' 'A']
 ['D' 'A' 'B' 'A' 'E' 'E' 'A' 'E' 'B' 'E' 'A' 'A' 'D' 'D' 'E' 'B' 'A' 'B'
  'C' 'D']]",Anti-plurality voting,NDCG,"[0.9779696223537329, 0.8636568705968176, 0.7392561108165644, 0.8209780454481292, 0.9439968750845366, 0.7612864884628315, 0.9573211748513114, 0.982987268163391, 0.7879324789787284, 0.934310900001227, 0.9055844119960058, 0.8569080438338419, 0.926232859498427, 0.7960105194815281, 0.7875305117652345, 0.8404205255835342, 0.9190820655219575, 0.8149277860306317, 0.8585865083831375, 0.9487884507309959]",Flip Reward,0.10888188583125372
"[['C' 'D' 'E' 'B' 'E' 'E' 'C' 'D' 'D' 'A' 'C' 'B' 'B' 'B' 'C' 'E' 'D' 'C'
  'A' 'A']
 ['D' 'B' 'B' 'E' 'B' 'A' 'D' 'E' 'A' 'E' 'B' 'A' 'D' 'C' 'B' 'A' 'E' 'B'
  'D' 'B']
 ['E' 'A' 'D' 'C' 'C' 'B' 'A' 'B' 'B' 'D' 'E' 'D' 'E' 'E' 'A' 'C' 'A' 'D'
  'E' 'D']
 ['B' 'C' 'A' 'D' 'A' 'D' 'E' 'A' 'C' 'B' 'D' 'C' 'A' 'D' 'E' 'B' 'C' 'E'
  'B' 'E']
 ['A' 'E' 'C' 'A' 'D' 'C' 'B' 'C' 'E' 'C' 'A' 'E' 'C' 'A' 'D' 'D' 'B' 'A'
  'C' 'C']]",Anti-plurality voting,NDCG,"[0.7740328582392829, 0.9487884507309959, 0.9153936334521232, 0.9627407878744634, 0.8823480669827225, 0.8636568705968176, 0.7544849452958339, 0.9385772620613847, 0.910549341401642, 0.8209780454481292, 0.7935280547787101, 0.959225709563806, 1.0, 0.9372480483215606, 0.7782465038954187, 0.8238624773644411, 0.9012653335318261, 0.8002768815416859, 0.8337244152245806, 0.8599684385269835]",Flip Reward,0.13558894574051647
"[['C' 'A' 'A' 'D' 'B' 'A' 'E' 'D' 'D' 'B' 'E' 'D' 'E' 'B' 'D' 'B' 'E' 'B'
  'E' 'E']
 ['B' 'D' 'B' 'E' 'A' 'B' 'A' 'E' 'A' 'E' 'D' 'B' 'B' 'D' 'C' 'E' 'A' 'A'
  'D' 'B']
 ['D' 'E' 'E' 'C' 'E' 'C' 'C' 'B' 'E' 'C' 'C' 'C' 'C' 'A' 'E' 'A' 'B' 'C'
  'A' 'C']
 ['A' 'C' 'D' 'B' 'D' 'E' 'D' 'A' 'C' 'D' 'B' 'A' 'A' 'E' 'B' 'D' 'C' 'D'
  'C' 'D']
 ['E' 'B' 'C' 'A' 'C' 'D' 'B' 'C' 'B' 'A' 'A' 'E' 'D' 'C' 'A' 'C' 'D' 'E'
  'B' 'A']]",Anti-plurality voting,NDCG,"[0.7595025911054919, 0.851435714406668, 0.8209780454481292, 0.9822359844138907, 0.8569080438338419, 0.7836661169185707, 0.8835540343497387, 1.0, 0.959225709563806, 0.871385594563611, 0.9463059860281778, 0.9542080637541479, 0.8945165067688502, 0.9018959799261715, 0.9439968750845366, 0.8824007833867445, 0.8885189637553748, 0.8238624773644411, 0.9487884507309959, 0.9073155929493236]",Flip Reward,0.1457554936453798
"[['E' 'C' 'B' 'D' 'D' 'A' 'E' 'C' 'C' 'C']
 ['C' 'E' 'A' 'E' 'A' 'D' 'C' 'A' 'A' 'E']
 ['D' 'D' 'D' 'B' 'B' 'E' 'B' 'D' 'E' 'A']
 ['A' 'B' 'C' 'A' 'E' 'C' 'A' 'E' 'D' 'D']
 ['B' 'A' 'E' 'C' 'C' 'B' 'D' 'B' 'B' 'B']]",Anti-plurality voting,NDCG,"[0.8569080438338419, 0.8039125972074981, 0.7960105194815281, 0.9073155929493236, 0.9463059860281778, 1.0, 0.8238624773644411, 0.8599684385269835, 0.8532196117640075, 0.827726872211105]",Flip Reward,0.18235399010467734
"[['A' 'C' 'D' 'A' 'B' 'E' 'A' 'A' 'A' 'C']
 ['C' 'A' 'B' 'B' 'C' 'B' 'B' 'B' 'E' 'B']
 ['B' 'E' 'C' 'D' 'E' 'D' 'E' 'C' 'B' 'D']
 ['D' 'B' 'E' 'E' 'D' 'A' 'D' 'E' 'D' 'E']
 ['E' 'D' 'A' 'C' 'A' 'C' 'C' 'D' 'C' 'A']]",Anti-plurality voting,NDCG,"[0.7759373929517774, 0.7375249298632467, 0.890880791103038, 0.8532196117640075, 0.9439968750845366, 0.9640700016142872, 0.8599684385269835, 0.8311892341177404, 0.8472220687505321, 0.7935280547787101]",Flip Reward,0.13558894574051622
"[['A' 'B' 'A' 'A' 'D' 'C' 'C' 'A' 'B' 'D']
 ['C' 'D' 'E' 'B' 'B' 'B' 'D' 'E' 'E' 'C']
 ['E' 'E' 'D' 'C' 'A' 'A' 'B' 'D' 'C' 'B']
 ['D' 'A' 'C' 'E' 'C' 'E' 'A' 'C' 'A' 'A']
 ['B' 'C' 'B' 'D' 'E' 'D' 'E' 'B' 'D' 'E']]",Anti-plurality voting,NDCG,"[0.9779696223537329, 0.8238624773644411, 0.926232859498427, 0.982987268163391, 0.827726872211105, 0.934310900001227, 0.9055844119960058, 0.926232859498427, 0.8331464852342569, 0.8337244152245806]",Flip Reward,0.026515925269465165
"[['C' 'A' 'C' 'B' 'B']
 ['A' 'B' 'B' 'A' 'C']
 ['B' 'C' 'A' 'C' 'A']]",Anti-plurality voting,NDCG,"[0.7899980042460358, 0.9224945116765986, 0.8174935137996165, 1.0, 0.9725044904464192]",Flip Reward,0.12160964874256136
